Inning,Top,Runners,Outs,-4,-3,-2,-1,0,1,2,3,4
5,FALSE,___,0,0.8,1.1,1.3,1.3,1.2,0.9,0.6,0.4,0.3
5,FALSE,1__,0,1.4,1.8,2.1,2.1,1.8,1.3,0.9,0.6,0.4
5,FALSE,_2_,0,1.2,1.6,1.8,1.8,1.5,1.1,0.7,0.5,0.3
5,FALSE,__3,0,1.2,1.5,1.6,1.5,1.2,0.9,0.6,0.4,0.2
5,FALSE,12_,0,2.1,2.5,2.7,2.6,2.2,1.6,1.1,0.7,0.4
5,FALSE,1_3,0,1.9,2.3,2.4,2.2,1.7,1.2,0.8,0.5,0.3
5,FALSE,_23,0,1.8,2.1,2.1,2,1.6,1.1,0.8,0.5,0.3
5,FALSE,123,0,2.8,3.1,3.1,2.8,2.2,1.5,1,0.7,0.4
5,FALSE,___,1,0.5,0.7,0.9,1,0.9,0.7,0.5,0.3,0.2
5,FALSE,1__,1,1.1,1.4,1.7,1.8,1.5,1.2,0.8,0.5,0.3
5,FALSE,_2_,1,1.1,1.4,1.7,1.8,1.6,1.2,0.8,0.5,0.3
5,FALSE,__3,1,1,1.4,1.7,2,1.8,1.4,1,0.6,0.4
5,FALSE,12_,1,1.9,2.4,2.8,2.8,2.4,1.8,1.2,0.8,0.5
5,FALSE,1_3,1,1.7,2.2,2.5,2.6,2.3,1.7,1.2,0.8,0.5
5,FALSE,_23,1,1.6,2,2.2,2.1,1.9,1.4,1,0.6,0.4
5,FALSE,123,1,2.9,3.4,3.7,3.5,3,2.2,1.5,1,0.6
5,FALSE,___,2,0.3,0.4,0.6,0.6,0.6,0.4,0.3,0.2,0.1
5,FALSE,1__,2,0.6,0.9,1.1,1.2,1.1,0.8,0.6,0.4,0.2
5,FALSE,_2_,2,0.8,1.2,1.5,1.7,1.6,1.2,0.8,0.6,0.4
5,FALSE,__3,2,0.9,1.3,1.7,2,1.9,1.4,1,0.7,0.4
5,FALSE,12_,2,1.4,1.9,2.3,2.5,2.2,1.6,1.1,0.8,0.5
5,FALSE,1_3,2,1.5,2,2.4,2.6,2.4,1.8,1.2,0.8,0.5
5,FALSE,_23,2,1.7,2.3,2.8,3,2.6,1.9,1.3,0.9,0.6
5,FALSE,123,2,2.7,3.4,4,4.2,3.6,2.7,1.8,1.2,0.8
6,TRUE,___,0,0.3,0.5,0.7,1,1.3,1.4,1.3,1,0.7
6,TRUE,1__,0,0.5,0.7,1.1,1.6,2.1,2.3,2.1,1.7,1.2
6,TRUE,_2_,0,0.4,0.6,0.9,1.3,1.7,1.9,1.8,1.5,1.1
6,TRUE,__3,0,0.3,0.5,0.7,1,1.4,1.7,1.7,1.4,1.1
6,TRUE,12_,0,0.5,0.8,1.3,1.8,2.5,2.9,2.8,2.4,1.9
6,TRUE,1_3,0,0.4,0.6,0.9,1.4,1.9,2.4,2.6,2.3,1.8
6,TRUE,_23,0,0.4,0.6,0.9,1.3,1.8,2.2,2.3,2.1,1.7
6,TRUE,123,0,0.5,0.8,1.2,1.8,2.5,3.1,3.4,3.2,2.7
6,TRUE,___,1,0.2,0.4,0.5,0.8,1,1.1,0.9,0.7,0.4
6,TRUE,1__,1,0.4,0.6,0.9,1.3,1.8,1.9,1.7,1.3,0.9
6,TRUE,_2_,1,0.4,0.6,1,1.4,1.8,2,1.7,1.3,0.9
6,TRUE,__3,1,0.5,0.8,1.1,1.6,2,2.1,1.6,1.3,0.9
6,TRUE,12_,1,0.6,1,1.5,2.1,2.8,3.1,2.8,2.2,1.6
6,TRUE,1_3,1,0.6,0.9,1.4,2,2.6,2.8,2.5,2.1,1.5
6,TRUE,_23,1,0.5,0.8,1.1,1.6,2.1,2.3,2.3,1.9,1.5
6,TRUE,123,1,0.8,1.2,1.8,2.6,3.4,3.9,3.9,3.3,2.6
6,TRUE,___,2,0.2,0.3,0.4,0.5,0.7,0.7,0.5,0.4,0.2
6,TRUE,1__,2,0.3,0.5,0.7,1,1.3,1.3,1.1,0.8,0.5
6,TRUE,_2_,2,0.4,0.7,1,1.4,1.8,1.8,1.4,1,0.7
6,TRUE,__3,2,0.5,0.8,1.2,1.6,2.1,2.1,1.6,1.1,0.7
6,TRUE,12_,2,0.6,0.9,1.3,1.9,2.5,2.6,2.3,1.7,1.1
6,TRUE,1_3,2,0.6,1,1.4,2,2.7,2.8,2.4,1.8,1.2
6,TRUE,_23,2,0.7,1,1.6,2.2,2.9,3.2,2.7,2,1.4
6,TRUE,123,2,0.9,1.4,2.2,3.1,4.1,4.5,4.1,3.2,2.3
6,FALSE,___,0,0.8,1.1,1.4,1.6,1.3,0.9,0.6,0.3,0.2
6,FALSE,1__,0,1.4,1.9,2.3,2.4,2,1.3,0.8,0.5,0.3
6,FALSE,_2_,0,1.3,1.7,2,2,1.6,1.1,0.7,0.4,0.2
6,FALSE,__3,0,1.2,1.6,1.8,1.7,1.3,0.8,0.5,0.3,0.2
6,FALSE,12_,0,2.2,2.7,3.1,3,2.3,1.5,0.9,0.6,0.3
6,FALSE,1_3,0,2,2.5,2.7,2.4,1.7,1.1,0.7,0.4,0.2
6,FALSE,_23,0,1.9,2.3,2.4,2.2,1.7,1.1,0.7,0.4,0.2
6,FALSE,123,0,3,3.5,3.6,3.1,2.2,1.4,0.9,0.5,0.3
6,FALSE,___,1,0.5,0.8,1,1.2,1,0.7,0.4,0.3,0.2
6,FALSE,1__,1,1,1.5,1.9,2.1,1.7,1.1,0.7,0.4,0.3
6,FALSE,_2_,1,1.1,1.5,1.9,2.1,1.8,1.2,0.8,0.5,0.3
6,FALSE,__3,1,1,1.4,1.9,2.3,2.1,1.4,0.9,0.5,0.3
6,FALSE,12_,1,1.9,2.6,3.1,3.3,2.7,1.8,1.1,0.7,0.4
6,FALSE,1_3,1,1.8,2.4,2.8,3,2.6,1.7,1.1,0.7,0.4
6,FALSE,_23,1,1.7,2.2,2.5,2.5,2.1,1.4,0.9,0.5,0.3
6,FALSE,123,1,3,3.8,4.2,4,3.3,2.2,1.4,0.8,0.5
6,FALSE,___,2,0.3,0.4,0.6,0.8,0.7,0.5,0.3,0.2,0.1
6,FALSE,1__,2,0.6,0.9,1.2,1.5,1.3,0.8,0.5,0.3,0.2
6,FALSE,_2_,2,0.8,1.2,1.6,2,1.8,1.2,0.8,0.5,0.3
6,FALSE,__3,2,0.9,1.3,1.9,2.4,2.2,1.4,0.9,0.6,0.3
6,FALSE,12_,2,1.4,2,2.6,2.9,2.5,1.6,1,0.6,0.4
6,FALSE,1_3,2,1.4,2.1,2.7,3.1,2.7,1.8,1.1,0.7,0.4
6,FALSE,_23,2,1.6,2.4,3.1,3.5,2.9,1.9,1.2,0.7,0.4
6,FALSE,123,2,2.7,3.7,4.5,4.9,4,2.6,1.7,1,0.6
7,TRUE,___,0,0.2,0.4,0.7,1,1.5,1.7,1.4,1,0.6
7,TRUE,1__,0,0.4,0.6,1,1.6,2.4,2.7,2.3,1.7,1.2
7,TRUE,_2_,0,0.3,0.5,0.8,1.2,1.9,2.3,2,1.5,1.1
7,TRUE,__3,0,0.2,0.4,0.6,1,1.5,2,1.9,1.5,1.1
7,TRUE,12_,0,0.4,0.7,1.1,1.8,2.7,3.4,3.2,2.6,1.9
7,TRUE,1_3,0,0.3,0.5,0.8,1.3,2,2.8,3,2.5,1.8
7,TRUE,_23,0,0.3,0.5,0.8,1.3,2,2.5,2.6,2.3,1.7
7,TRUE,123,0,0.4,0.6,1.1,1.7,2.6,3.5,3.9,3.6,2.8
7,TRUE,___,1,0.2,0.3,0.5,0.8,1.2,1.3,1,0.6,0.4
7,TRUE,1__,1,0.3,0.5,0.9,1.4,2,2.3,1.8,1.3,0.8
7,TRUE,_2_,1,0.3,0.6,0.9,1.4,2.1,2.3,1.8,1.3,0.8
7,TRUE,__3,1,0.4,0.7,1.1,1.6,2.4,2.5,1.8,1.3,0.8
7,TRUE,12_,1,0.5,0.8,1.3,2.1,3.2,3.6,3.1,2.3,1.6
7,TRUE,1_3,1,0.5,0.8,1.3,2,3.1,3.3,2.9,2.2,1.5
7,TRUE,_23,1,0.4,0.7,1.1,1.6,2.5,2.8,2.7,2.1,1.4
7,TRUE,123,1,0.6,1,1.6,2.6,3.9,4.5,4.4,3.6,2.6
7,TRUE,___,2,0.1,0.2,0.4,0.5,0.8,0.8,0.6,0.3,0.2
7,TRUE,1__,2,0.2,0.4,0.6,1,1.5,1.6,1.2,0.7,0.4
7,TRUE,_2_,2,0.3,0.6,0.9,1.4,2.1,2.2,1.5,0.9,0.6
7,TRUE,__3,2,0.4,0.7,1.1,1.7,2.5,2.5,1.7,1.1,0.6
7,TRUE,12_,2,0.4,0.8,1.2,1.9,2.9,3.2,2.5,1.7,1
7,TRUE,1_3,2,0.5,0.8,1.4,2.1,3.1,3.4,2.6,1.7,1.1
7,TRUE,_23,2,0.5,0.9,1.5,2.3,3.4,3.9,3.1,2,1.2
7,TRUE,123,2,0.7,1.2,2,3.1,4.7,5.4,4.5,3.3,2.1
7,FALSE,___,0,0.8,1.2,1.6,1.9,1.5,0.8,0.4,0.2,0.1
7,FALSE,1__,0,1.4,2,2.6,3,2.3,1.2,0.7,0.4,0.2
7,FALSE,_2_,0,1.3,1.8,2.3,2.4,1.8,0.9,0.5,0.3,0.1
7,FALSE,__3,0,1.3,1.8,2.2,2,1.5,0.8,0.4,0.2,0.1
7,FALSE,12_,0,2.2,3,3.6,3.5,2.5,1.3,0.8,0.4,0.2
7,FALSE,1_3,0,2.1,2.8,3.3,2.8,1.7,0.9,0.5,0.3,0.1
7,FALSE,_23,0,2,2.6,2.9,2.6,1.7,0.9,0.5,0.3,0.1
7,FALSE,123,0,3.3,4,4.1,3.5,2.3,1.2,0.7,0.4,0.2
7,FALSE,___,1,0.5,0.8,1.1,1.4,1.2,0.6,0.3,0.2,0.1
7,FALSE,1__,1,1,1.5,2.1,2.5,2,1.1,0.6,0.3,0.2
7,FALSE,_2_,1,1,1.5,2.1,2.6,2.1,1.1,0.6,0.3,0.2
7,FALSE,__3,1,1,1.5,2.1,2.9,2.5,1.3,0.7,0.4,0.2
7,FALSE,12_,1,1.9,2.7,3.6,4,3,1.6,0.9,0.5,0.3
7,FALSE,1_3,1,1.8,2.6,3.2,3.7,3.1,1.6,0.9,0.5,0.3
7,FALSE,_23,1,1.7,2.4,3,3,2.5,1.3,0.7,0.4,0.2
7,FALSE,123,1,3.1,4.2,4.9,4.8,3.7,2,1.1,0.6,0.3
7,FALSE,___,2,0.2,0.4,0.7,1,0.8,0.4,0.2,0.1,0.1
7,FALSE,1__,2,0.5,0.9,1.4,1.8,1.5,0.8,0.4,0.2,0.1
7,FALSE,_2_,2,0.7,1.1,1.8,2.6,2.2,1.1,0.7,0.4,0.2
7,FALSE,__3,2,0.8,1.3,2,3,2.6,1.4,0.8,0.4,0.2
7,FALSE,12_,2,1.2,2,2.9,3.6,2.9,1.5,0.8,0.5,0.2
7,FALSE,1_3,2,1.3,2.1,3,3.8,3.1,1.6,0.9,0.5,0.3
7,FALSE,_23,2,1.5,2.4,3.6,4.3,3.3,1.7,1,0.5,0.3
7,FALSE,123,2,2.6,3.9,5.2,5.9,4.5,2.4,1.3,0.7,0.4
8,TRUE,___,0,0.2,0.3,0.6,1,1.9,2.2,1.5,0.9,0.6
8,TRUE,1__,0,0.2,0.4,0.8,1.5,2.8,3.4,2.6,1.7,1
8,TRUE,_2_,0,0.2,0.4,0.6,1.1,2.2,2.8,2.3,1.6,1
8,TRUE,__3,0,0.2,0.3,0.5,0.9,1.8,2.4,2.3,1.6,1
8,TRUE,12_,0,0.3,0.5,0.9,1.6,3.1,4.1,3.7,2.8,1.8
8,TRUE,1_3,0,0.2,0.3,0.6,1.1,2.1,3.3,3.6,2.8,1.8
8,TRUE,_23,0,0.2,0.3,0.6,1.1,2.1,3.1,3.2,2.6,1.7
8,TRUE,123,0,0.2,0.4,0.8,1.5,2.8,4.1,4.6,4,3
8,TRUE,___,1,0.1,0.2,0.4,0.7,1.4,1.6,1,0.6,0.3
8,TRUE,1__,1,0.2,0.4,0.7,1.3,2.4,2.9,2,1.2,0.7
8,TRUE,_2_,1,0.2,0.4,0.8,1.3,2.5,2.9,2,1.2,0.7
8,TRUE,__3,1,0.3,0.5,0.9,1.6,3.1,3.2,2,1.3,0.7
8,TRUE,12_,1,0.3,0.6,1.1,2,3.7,4.5,3.5,2.4,1.4
8,TRUE,1_3,1,0.3,0.6,1.1,2,3.8,4.2,3.3,2.3,1.4
8,TRUE,_23,1,0.3,0.5,0.9,1.6,3,3.4,3.2,2.2,1.3
8,TRUE,123,1,0.4,0.7,1.4,2.4,4.6,5.6,5.2,3.9,2.6
8,TRUE,___,2,0.1,0.2,0.3,0.5,1,1.1,0.6,0.3,0.1
8,TRUE,1__,2,0.2,0.3,0.5,1,1.8,2.1,1.3,0.7,0.3
8,TRUE,_2_,2,0.2,0.4,0.8,1.4,2.7,2.8,1.5,0.8,0.4
8,TRUE,__3,2,0.3,0.5,0.9,1.6,3.2,3.3,1.7,0.9,0.4
8,TRUE,12_,2,0.3,0.6,1,1.8,3.5,4,2.7,1.6,0.8
8,TRUE,1_3,2,0.3,0.6,1.1,2,3.8,4.3,2.8,1.6,0.8
8,TRUE,_23,2,0.3,0.7,1.2,2.1,4,4.9,3.5,1.9,1
8,TRUE,123,2,0.5,0.9,1.6,2.9,5.6,6.8,5.1,3.3,1.9
8,FALSE,___,0,0.7,1.1,1.8,2.5,1.8,0.6,0.3,0.1,0.1
8,FALSE,1__,0,1.3,2.1,3.1,3.8,2.6,0.9,0.4,0.2,0.1
8,FALSE,_2_,0,1.2,1.9,2.7,3.1,2,0.7,0.3,0.1,0.1
8,FALSE,__3,0,1.2,1.9,2.7,2.5,1.7,0.6,0.3,0.1,0.1
8,FALSE,12_,0,2.2,3.3,4.2,4.4,2.8,0.9,0.4,0.2,0.1
8,FALSE,1_3,0,2.2,3.2,4.1,3.3,1.8,0.6,0.3,0.1,0.1
8,FALSE,_23,0,2.1,3,3.6,3.3,1.8,0.6,0.3,0.1,0.1
8,FALSE,123,0,3.5,4.6,5,4.2,2.2,0.8,0.4,0.2,0.1
8,FALSE,___,1,0.4,0.7,1.2,1.9,1.4,0.5,0.2,0.1,0
8,FALSE,1__,1,0.8,1.5,2.4,3.4,2.4,0.8,0.4,0.2,0.1
8,FALSE,_2_,1,0.8,1.5,2.4,3.4,2.5,0.8,0.4,0.2,0.1
8,FALSE,__3,1,0.9,1.5,2.4,3.9,3.2,1,0.5,0.2,0.1
8,FALSE,12_,1,1.7,2.9,4.1,5.1,3.5,1.1,0.5,0.3,0.1
8,FALSE,1_3,1,1.7,2.7,3.9,4.9,3.8,1.2,0.6,0.3,0.1
8,FALSE,_23,1,1.6,2.6,3.7,4,3,0.9,0.4,0.2,0.1
8,FALSE,123,1,3.1,4.6,5.9,6.2,4.4,1.4,0.7,0.3,0.1
8,FALSE,___,2,0.2,0.4,0.7,1.3,1.1,0.3,0.2,0.1,0
8,FALSE,1__,2,0.4,0.8,1.6,2.5,1.8,0.6,0.3,0.1,0.1
8,FALSE,_2_,2,0.5,1,1.9,3.5,2.8,0.9,0.4,0.2,0.1
8,FALSE,__3,2,0.5,1.1,2.1,4.1,3.4,1,0.5,0.2,0.1
8,FALSE,12_,2,1,2,3.3,4.7,3.5,1.1,0.5,0.2,0.1
8,FALSE,1_3,2,1,2,3.4,5.1,3.8,1.2,0.6,0.3,0.1
8,FALSE,_23,2,1.2,2.3,4.2,5.8,3.9,1.3,0.6,0.3,0.1
8,FALSE,123,2,2.3,4,6.1,7.7,5.3,1.7,0.8,0.4,0.2
9,TRUE,___,0,0.1,0.2,0.3,0.7,2.4,2.9,1.6,0.8,0.4
9,TRUE,1__,0,0.1,0.2,0.5,1.1,3.4,4.6,2.9,1.6,0.8
9,TRUE,_2_,0,0.1,0.2,0.4,0.8,2.6,3.7,2.7,1.5,0.8
9,TRUE,__3,0,0.1,0.2,0.3,0.7,2.3,3.1,2.9,1.6,0.8
9,TRUE,12_,0,0.1,0.3,0.6,1.2,3.6,5.3,4.4,2.9,1.6
9,TRUE,1_3,0,0.1,0.2,0.4,0.8,2.3,4.2,4.6,3,1.7
9,TRUE,_23,0,0.1,0.2,0.4,0.8,2.4,4,4,2.9,1.6
9,TRUE,123,0,0.1,0.2,0.5,1,2.9,5.2,5.7,4.6,3.1
9,TRUE,___,1,0.1,0.1,0.3,0.6,1.9,2.2,1,0.5,0.2
9,TRUE,1__,1,0.1,0.2,0.5,1,3.1,3.9,2.2,1,0.4
9,TRUE,_2_,1,0.1,0.2,0.5,1,3.3,4,2.2,1,0.5
9,TRUE,__3,1,0.1,0.3,0.6,1.2,4.3,4.4,2.3,1.1,0.5
9,TRUE,12_,1,0.1,0.3,0.7,1.4,4.6,6.1,4,2.3,1.1
9,TRUE,1_3,1,0.1,0.3,0.7,1.5,5,5.7,4,2.3,1.1
9,TRUE,_23,1,0.1,0.3,0.6,1.2,3.9,4.6,3.9,2.3,1.1
9,TRUE,123,1,0.2,0.4,0.8,1.8,5.7,7.3,6.2,4.2,2.4
9,TRUE,___,2,0,0.1,0.2,0.4,1.4,1.5,0.5,0.2,0.1
9,TRUE,1__,2,0.1,0.2,0.3,0.7,2.4,2.9,1.3,0.4,0.1
9,TRUE,_2_,2,0.1,0.2,0.5,1.1,3.7,4,1.4,0.5,0.2
9,TRUE,__3,2,0.1,0.3,0.6,1.3,4.4,4.6,1.4,0.5,0.2
9,TRUE,12_,2,0.1,0.3,0.7,1.4,4.5,5.5,2.9,1.3,0.4
9,TRUE,1_3,2,0.2,0.3,0.7,1.5,5,5.9,2.9,1.3,0.4
9,TRUE,_23,2,0.2,0.3,0.7,1.6,5.1,6.9,3.9,1.4,0.5
9,TRUE,123,2,0.2,0.5,1,2.1,6.9,9.1,5.7,3.1,1.4
9,FALSE,___,0,0.5,1,2,3.6,2.3, , , ,  
9,FALSE,1__,0,1,2,3.6,5.4,3.1, , , ,  
9,FALSE,_2_,0,1,1.9,3.3,4.3,2.5, , , ,  
9,FALSE,__3,0,1.1,2,3.6,3.5,2.1, , , ,  
9,FALSE,12_,0,2,3.6,5.2,6,3.2, , , ,  
9,FALSE,1_3,0,2.1,3.7,5.5,4.3,2.1, , , ,  
9,FALSE,_23,0,2,3.5,4.7,4.3,2, , , ,  
9,FALSE,123,0,3.7,5.4,6.4,5.3,2.4, , , ,  
9,FALSE,___,1,0.2,0.6,1.3,2.8,1.9, , , ,  
9,FALSE,1__,1,0.6,1.3,2.8,4.8,3, , , ,  
9,FALSE,_2_,1,0.6,1.3,2.7,5,3.2, , , ,  
9,FALSE,__3,1,0.6,1.4,2.9,5.8,4.5, , , ,  
9,FALSE,12_,1,1.3,2.9,4.8,7.2,4.3, , , ,  
9,FALSE,1_3,1,1.4,2.9,4.9,7.1,5, , , ,  
9,FALSE,_23,1,1.4,2.8,4.8,5.7,4, , , ,  
9,FALSE,123,1,3,5.1,7.3,8.6,5.4, , , ,  
9,FALSE,___,2,0.1,0.2,0.6,1.9,1.5, , , ,  
9,FALSE,1__,2,0.2,0.5,1.7,3.7,2.4, , , ,  
9,FALSE,_2_,2,0.2,0.6,1.8,5.2,3.9, , , ,  
9,FALSE,__3,2,0.2,0.7,1.8,6.1,4.7, , , ,  
9,FALSE,12_,2,0.6,1.7,3.7,6.8,4.4, , , ,  
9,FALSE,1_3,2,0.6,1.7,3.7,7.4,5, , , ,  
9,FALSE,_23,2,0.7,1.8,5.1,8.4,4.7, , , ,  
9,FALSE,123,2,1.8,3.9,7,10.9,6.4, , , ,  
